MonitoringLocationIdentifier,OrganizationIdentifier.x,OrganizationFormalName.x,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,Depth,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,Result,OrganizationIdentifier.y,OrganizationFormalName.y,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:03-29-1991:91GA10S30:3168024,Sample-Routine,Water,Surface Water,1991-03-29,111.25,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,9.3,mg/l,9.3,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-22-1991:91GA22S11:3168847,Sample-Routine,Water,Surface Water,1991-08-22,118.57,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,9.1,mg/l,9.1,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:03-29-1991:91GA10S21:3168992,Sample-Routine,Water,Surface Water,1991-03-29,0.91,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,9.2,mg/l,9.2,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:04-24-1991:91GA16S03:3168308,Sample-Routine,Water,Surface Water,1991-04-24,59.74,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,9.2,mg/l,9.2,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-22-1991:91GA22S08:3168849,Sample-Routine,Water,Surface Water,1991-08-22,100.58,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,9,mg/l,9,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-22-1991:91GA22S05:3168850,Sample-Routine,Water,Surface Water,1991-08-22,19.810000000000002,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,8.8,mg/l,8.8,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:03-29-1991:91GA10S23:3168993,Sample-Routine,Water,Surface Water,1991-03-29,59.44,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,9.4,mg/l,9.4,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:04-20-1992:92GA14S10:3169308,Sample-Routine,Water,Surface Water,1992-04-20,112.16999999999999,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,8.9,mg/l,8.9,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-23-1992:92GA24S11:3169602,Sample-Routine,Water,Surface Water,1992-08-23,120.4,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,9.4,mg/l,9.4,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-23-1992:92GA24S02:3169605,Sample-Routine,Water,Surface Water,1992-08-23,4.88,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.2,mg/l,10.2,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
